annotation_id,question_id,prompt_id,split,question_type,difficulty,fact_type,label,binary_label,span_text,token_count,token_start_position,token_end_position,mean_token_nll,mean_token_entropy,max_token_entropy,mean_top2_margin,min_top2_margin,one_minus_mean_top2_margin,one_minus_min_top2_margin,mean_spilled_energy_delta,negative_mean_spilled_energy_delta,mean_spilled_energy_abs_delta,max_spilled_energy_abs_delta,mean_selected_step_energy_gap,max_selected_step_energy_gap,mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top2,mean_token_logprob,mean_token_energy,mean_marginal_energy
ann_full100_seed_q_0004_001,q_0004,p_0004,dev,top_country_month,medium,month,correct_key_fact,0,April 2011,6,5,11,1.3e-05,0.000166,0.000943,0.999983,0.999901,1.7e-05,9.9e-05,-0.809085,0.809085,3.475753,10.604513,1.3e-05,7.4e-05,1.3e-05,9e-06,-1.3e-05,-34,-33.190915
ann_full100_seed_q_0004_002,q_0004,p_0004,dev,top_country_month,medium,country,hallucinated_key_fact,1,Japan,1,19,20,0.692191,1.133532,1.133532,0.110705,0.110705,0.889295,0.889295,1.404308,-1.404308,1.404308,1.404308,0.692192,0.692192,0.499521,0.109748,-0.692191,-24.875,-26.279308
ann_full100_seed_q_0004_003,q_0004,p_0004,dev,top_country_month,medium,currency_amount,hallucinated_key_fact,1,"GBP 4,871.83",10,27,37,0.090725,0.111085,0.899114,0.904046,0.119445,0.095954,0.880555,-0.103398,0.103398,1.836596,6.075016,0.090725,0.866209,0.050063,0.004173,-0.090725,-30.6125,-30.509102
ann_full100_seed_q_0005_001,q_0005,p_0005,test,top_country_month,medium,month,correct_key_fact,0,May 2011,6,8,14,1.3e-05,0.000164,0.000861,0.999984,0.999914,1.6e-05,8.6e-05,-0.814864,0.814864,3.481531,9.889191,1.2e-05,6.7e-05,1.3e-05,9e-06,-1.3e-05,-33.875,-33.060136
ann_full100_seed_q_0005_002,q_0005,p_0005,test,top_country_month,medium,country,hallucinated_key_fact,1,Spain,1,22,23,1.090565,1.679479,1.679479,0,0,1,1,1.978729,-1.978729,1.978729,1.978729,1.090567,1.090567,0.663973,0.327947,-1.090565,-24.25,-26.228729
ann_full100_seed_q_0005_003,q_0005,p_0005,test,top_country_month,medium,country,hallucinated_key_fact,1,Spain,1,29,30,0.00062,0.006698,0.006698,0.999119,0.999119,0.000881,0.000881,-1.702442,1.702442,1.702442,1.702442,0.00062,0.00062,0.00062,0.000359,-0.00062,-26.875,-25.172558
ann_full100_seed_q_0005_004,q_0005,p_0005,test,top_country_month,medium,currency_amount,hallucinated_key_fact,1,GBP 3257.60,9,32,41,0.03334,0.112264,0.715582,0.944632,0.608193,0.055368,0.391807,0.083379,-0.083379,2.091374,4.250019,0.03334,0.244781,0.030211,0.005055,-0.03334,-28.083333,-28.166712
ann_full100_seed_q_0009_001,q_0009,p_0009,dev,top_country_month,medium,month,correct_key_fact,0,September 2011,6,5,11,1e-05,0.000142,0.000761,0.999987,0.999931,1.3e-05,6.9e-05,-0.830414,0.830414,4.12208,9.607485,1e-05,5.7e-05,1e-05,8e-06,-1e-05,-33.833333,-33.00292
ann_full100_seed_q_0009_002,q_0009,p_0009,dev,top_country_month,medium,country,hallucinated_key_fact,1,France,1,18,19,2.37568,1.820861,1.820861,0.441946,0.441946,0.558054,0.558054,5.590794,-5.590794,5.590794,5.590794,2.375687,2.375687,0.465102,0.372151,-2.37568,-20.375,-25.965794
ann_full100_seed_q_0009_003,q_0009,p_0009,dev,top_country_month,medium,currency_amount,hallucinated_key_fact,1,"23,198.87 GBP",10,28,38,0.07466,0.19613,1.051162,0.888043,0.367126,0.111957,0.632874,-0.169636,0.169636,3.698653,10.56698,0.07466,0.462721,0.063367,0.014778,-0.07466,-30.0625,-29.892864
ann_full100_seed_q_0009_004,q_0009,p_0009,dev,top_country_month,medium,ranking,hallucinated_key_fact,1,ranking is **second**,5,41,46,0.501568,1.08688,2.008886,0.554543,0.150806,0.445457,0.849194,0.765882,-0.765882,1.874519,3.916883,0.501572,1.459017,0.298925,0.152394,-0.501568,-23.425,-24.190882
ann_full100_seed_q_0010_001,q_0010,p_0010,test,top_country_month,medium,month,correct_key_fact,0,October 2011,6,8,14,1.5e-05,0.00019,0.001006,0.999978,0.999884,2.2e-05,0.000116,-0.710462,0.710462,3.627131,9.762783,1.5e-05,8e-05,1.5e-05,8e-06,-1.5e-05,-33.645833,-32.935371
ann_full100_seed_q_0010_002,q_0010,p_0010,test,top_country_month,medium,country,hallucinated_key_fact,1,Switzerland,2,22,24,0.142192,0.422276,0.843056,0.79224,0.584648,0.20776,0.415352,-0.321851,0.321851,2.946973,3.268824,0.142193,0.284264,0.123776,0.039793,-0.142192,-27.4375,-27.115649
ann_full100_seed_q_0010_003,q_0010,p_0010,test,top_country_month,medium,malformed_number,hallucinated_key_fact,1,"GBP 80,19.53",10,31,41,0.151796,0.133254,0.583589,0.911273,0.462062,0.088727,0.537938,-0.101201,0.101201,3.303853,6.106499,0.151796,1.313381,0.045923,0.003119,-0.151796,-29.45,-29.348799
ann_full100_seed_q_0014_001,q_0014,p_0014,dev,top_country_month,easy,month,correct_key_fact,0,June 2011,6,8,14,8e-06,0.000107,0.000576,0.999989,0.999941,1.1e-05,5.9e-05,-0.747755,0.747755,3.039421,8.48653,8e-06,4.4e-05,8e-06,5e-06,-8e-06,-34.354167,-33.606412
ann_full100_seed_q_0014_002,q_0014,p_0014,dev,top_country_month,easy,country,hallucinated_key_fact,1,Norway,2,16,18,0.108211,0.353604,0.703085,0.832627,0.665667,0.167373,0.334333,-0.136618,0.136618,1.113039,1.249657,0.108212,0.21608,0.097335,0.027298,-0.108211,-25.625,-25.488382
ann_full100_seed_q_0014_003,q_0014,p_0014,dev,top_country_month,easy,malformed_number,hallucinated_key_fact,1,"GBP 58,86.86",10,24,34,0.127051,0.139592,1.027896,0.909675,0.266288,0.090325,0.733712,0.099968,-0.099968,2.602678,6.963936,0.127051,1.181898,0.051315,0.012305,-0.127051,-29.5875,-29.687468
ann_full100_seed_q_0014_004,q_0014,p_0014,dev,top_country_month,easy,ranking,hallucinated_key_fact,1,ranking is **1**,5,36,41,0.717526,1.607359,2.399124,0.307711,0.033179,0.692289,0.966821,1.285455,-1.285455,1.319124,2.227032,0.717534,1.264572,0.473947,0.255606,-0.717526,-22.225,-23.510455
