family,baseline_role,baseline,score_group,score_field,threshold,score,score_margin,error_type,actual_class,predicted_class,annotation_id,question_id,prompt_id,split,question_type,difficulty,fact_type,label,binary_label,span_text,token_count,question,gold_short_answer,annotation_reason,annotation_confidence,annotation_notes,gold_reference,generated_excerpt,generated_text,evidence_table_markdown,example_rank,selection_reason
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,1e-06,-0.000224,false_negative,positive,negative,ann_full100_draft_q_0064_008,q_0064,p_0064,test,top3_products_month,medium,ranking,hallucinated_key_fact,1,3.,2,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.",The rank-3 marker is tied to the wrong generated product.,high,draft_round3; list_rank_marker; wrong_rank3_item,"{""fact_type"": ""ranking"", ""field"": ""top_products[2].rank_item"", ""gold_display_value"": ""3. 22084 / PAPER CHAIN KIT EMPIRE"", ""gold_value"": ""3. 22084""}","...) with a net revenue of GBP 14,280.90. 2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87. [[3.]] **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","The top 3 products by merchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 22423 | REGENCY CAKESTAND 3 TIER | 14280.90 | 14812.95 | -532.05 |
| 22499 | WOODEN UNION JACK BUNTING | 4173.18 | 4191.03 | -17.85 |
| 47566 | PARTY BUNTING | 10323.87 | 10778.47 | -454.60 |
| 85099B | JUMBO BAG RED RETROSPOT | 4870.92 | 4878.08 | -7.16 |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 5078.59 | 10017.79 | -4939.20 |
| 22084 | PAPER CHAIN KIT EMPIRE | 6619.51 | 6634.26 | -14.75 |
| 84879 | ASSORTED COLOUR BIRD ORNAMENT | 4174.24 | 4174.24 | 0.00 |
| 22087 | PAPER BUNTING WHITE LACE | 3512.24 | 3579.69 | -67.45 |",1,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,1e-06,-0.000224,false_negative,positive,negative,ann_full100_draft_q_0064_010,q_0064,p_0064,test,top3_products_month,medium,currency_amount,hallucinated_key_fact,1,"GBP 4,173.18",10,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.","Gold rank-3 revenue is GBP 6,619.51, not GBP 4,173.18.",high,draft_round3; wrong_rank3_amount,"{""fact_type"": ""currency_amount"", ""field"": ""top_products[2].merchandise_net_revenue"", ""gold_display_value"": ""GBP 6,619.51"", ""gold_value"": 6619.51}","...ank 2) with a net revenue of GBP 10,323.87. 3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of [[GBP 4,173.18]].","The top 3 products by merchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 22423 | REGENCY CAKESTAND 3 TIER | 14280.90 | 14812.95 | -532.05 |
| 22499 | WOODEN UNION JACK BUNTING | 4173.18 | 4191.03 | -17.85 |
| 47566 | PARTY BUNTING | 10323.87 | 10778.47 | -454.60 |
| 85099B | JUMBO BAG RED RETROSPOT | 4870.92 | 4878.08 | -7.16 |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 5078.59 | 10017.79 | -4939.20 |
| 22084 | PAPER CHAIN KIT EMPIRE | 6619.51 | 6634.26 | -14.75 |
| 84879 | ASSORTED COLOUR BIRD ORNAMENT | 4174.24 | 4174.24 | 0.00 |
| 22087 | PAPER BUNTING WHITE LACE | 3512.24 | 3579.69 | -67.45 |",2,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,2e-06,-0.000223,false_negative,positive,negative,ann_full100_draft_q_0069_005,q_0069,p_0069,test,top3_products_month,medium,ranking,hallucinated_key_fact,1,2.,2,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.",The rank-2 marker is tied to the wrong generated product.,high,draft_round4; list_rank_marker; wrong_rank2_item,"{""fact_type"": ""ranking"", ""field"": ""top_products[1].rank_item"", ""gold_display_value"": ""2. 22423 / REGENCY CAKESTAND 3 TIER"", ""gold_value"": ""2. 22423""}",...evenue in September 2011 were: 1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45. [[2.]] **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25. 3. **REGENCY CAKESTAND 3 TIE...,"The top 3 products by merchandise net revenue in September 2011 were:  
1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45.  
2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 6880.76 | 6945.66 | -64.90 |
| 22720 | SET OF 3 CAKE TINS PANTRY DESIGN | 6250.48 | 6285.13 | -34.65 |
| 22423 | REGENCY CAKESTAND 3 TIER | 9315.03 | 9619.53 | -304.50 |
| 23355 | HOT WATER BOTTLE KEEP CALM | 6229.79 | 6254.54 | -24.75 |
| 23243 | SET OF TEA COFFEE SUGAR TINS PANTRY | 9971.51 | 9981.41 | -9.90 |
| 22086 | PAPER CHAIN KIT 50'S CHRISTMAS | 5997.25 | 5997.25 | 0.00 |
| 85099B | JUMBO BAG RED RETROSPOT | 8630.45 | 8880.17 | -249.72 |
| 47566 | PARTY BUNTING | 6113.70 | 6383.15 | -269.45 |",3,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,2e-06,-0.000223,false_negative,positive,negative,ann_full100_draft_q_0069_008,q_0069,p_0069,test,top3_products_month,medium,ranking,hallucinated_key_fact,1,3.,2,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.",The rank-3 marker is tied to the wrong generated product.,high,draft_round4; list_rank_marker; wrong_rank3_item,"{""fact_type"": ""ranking"", ""field"": ""top_products[2].rank_item"", ""gold_display_value"": ""3. 85099B / JUMBO BAG RED RETROSPOT"", ""gold_value"": ""3. 85099B""}",...revenue of GBP 8630.45. 2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25. [[3.]] **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.,"The top 3 products by merchandise net revenue in September 2011 were:  
1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45.  
2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 6880.76 | 6945.66 | -64.90 |
| 22720 | SET OF 3 CAKE TINS PANTRY DESIGN | 6250.48 | 6285.13 | -34.65 |
| 22423 | REGENCY CAKESTAND 3 TIER | 9315.03 | 9619.53 | -304.50 |
| 23355 | HOT WATER BOTTLE KEEP CALM | 6229.79 | 6254.54 | -24.75 |
| 23243 | SET OF TEA COFFEE SUGAR TINS PANTRY | 9971.51 | 9981.41 | -9.90 |
| 22086 | PAPER CHAIN KIT 50'S CHRISTMAS | 5997.25 | 5997.25 | 0.00 |
| 85099B | JUMBO BAG RED RETROSPOT | 8630.45 | 8880.17 | -249.72 |
| 47566 | PARTY BUNTING | 6113.70 | 6383.15 | -269.45 |",4,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,2e-06,-0.000223,false_negative,positive,negative,ann_full100_draft_q_0069_010,q_0069,p_0069,test,top3_products_month,medium,currency_amount,hallucinated_key_fact,1,GBP 9315.03,9,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.","GBP 9,315.03 is the gold rank-2 revenue, but the generated answer uses it for rank 3.",high,draft_round4; wrong_rank3_amount; correct_amount_used_in_wrong_rank,"{""fact_type"": ""currency_amount"", ""field"": ""top_products[2].merchandise_net_revenue"", ""gold_display_value"": ""GBP 8,630.45"", ""gold_value"": 8630.45}",... (rank 2) with a net revenue of GBP 5997.25. 3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of [[GBP 9315.03]].,"The top 3 products by merchandise net revenue in September 2011 were:  
1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45.  
2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 6880.76 | 6945.66 | -64.90 |
| 22720 | SET OF 3 CAKE TINS PANTRY DESIGN | 6250.48 | 6285.13 | -34.65 |
| 22423 | REGENCY CAKESTAND 3 TIER | 9315.03 | 9619.53 | -304.50 |
| 23355 | HOT WATER BOTTLE KEEP CALM | 6229.79 | 6254.54 | -24.75 |
| 23243 | SET OF TEA COFFEE SUGAR TINS PANTRY | 9971.51 | 9981.41 | -9.90 |
| 22086 | PAPER CHAIN KIT 50'S CHRISTMAS | 5997.25 | 5997.25 | 0.00 |
| 85099B | JUMBO BAG RED RETROSPOT | 8630.45 | 8880.17 | -249.72 |
| 47566 | PARTY BUNTING | 6113.70 | 6383.15 | -269.45 |",5,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,0.242012,0.241787,false_positive,negative,positive,ann_full100_draft_q_0054_005,q_0054,p_0054,test,monthly_revenue_change,hard,percentage,correct_key_fact,0,-4.14%,6,How did net revenue change from May 2011 to June 2011? Provide the absolute change and percentage change.,"Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011.",Generated percentage change is within tolerance of -4.45%.,high,draft_round2; correct_percent_change; first_result_claim,"{""fact_type"": ""percentage"", ""field"": ""percent_change"", ""gold_display_value"": ""-4.45%"", ""gold_value"": -4.45, ""tolerance"": {""percentage_points"": 0.5}}","From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **[[-4.14%]]** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **-4.14%** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-05 | 722094.10 | 769296.61 | -47202.51 | 1995 |
| 2011-06 | 689977.23 | 760547.01 | -70569.78 | 1862 |",1,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,0.075874,0.075649,false_positive,negative,positive,ann_full100_draft_q_0093_002,q_0093,p_0093,test,return_impact_month,hard,currency_amount,correct_key_fact,0,"£44,600.65",10,"In April 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 44,600.65 (8.31% of gross), leaving net revenue of GBP 492,367.84.","Generated reduction amount matches GBP 44,600.65; the pound symbol is treated as GBP-compatible in this context.",high,draft_round1; correct_reduction_amount; pound_symbol_for_gbp,"{""fact_type"": ""currency_amount"", ""field"": ""reduction_amount"", ""gold_display_value"": ""GBP 44,600.65"", ""gold_value"": 44600.65, ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","In April 2011, cancellations and returns reduced gross positive revenue by [[£44,600.65]], resulting in a final net revenue of £44,600.65.","In April 2011, cancellations and returns reduced gross positive revenue by £44,600.65, resulting in a final net revenue of £44,600.65.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-04 | 492367.84 | 536968.49 | -44600.65 | 1486 |",2,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,0.028835,0.02861,false_positive,negative,positive,ann_full100_draft_q_0054_003,q_0054,p_0054,test,monthly_revenue_change,hard,comparison_direction,correct_key_fact,0,decreased,1,How did net revenue change from May 2011 to June 2011? Provide the absolute change and percentage change.,"Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011.",Generated direction matches the gold direction.,high,draft_round2; correct_direction,"{""fact_type"": ""comparison_direction"", ""field"": ""direction"", ""gold_display_value"": ""decrease"", ""gold_value"": ""decrease"", ""tolerance"": ""exact_normalized_match""}","From May 2011 to June 2011, net revenue [[decreased]] by **GBP 3,121.37**, representing a **-4.14%** change. The absolute change is **-GBP 3,121.37**, and the perc...","From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **-4.14%** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-05 | 722094.10 | 769296.61 | -47202.51 | 1995 |
| 2011-06 | 689977.23 | 760547.01 | -70569.78 | 1862 |",3,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,0.023611,0.023386,false_positive,negative,positive,ann_full100_draft_q_0059_004,q_0059,p_0059,test,monthly_revenue_change,hard,comparison_direction,correct_key_fact,0,increase,1,How did net revenue change from October 2011 to November 2011? Provide the absolute change and percentage change.,"Net revenue increased by GBP 386,777.57 (36.17%) from October 2011 to November 2011.",Generated direction matches the gold direction.,high,draft_round1; correct_direction,"{""fact_type"": ""comparison_direction"", ""field"": ""direction"", ""gold_display_value"": ""increase"", ""gold_value"": ""increase"", ""tolerance"": ""exact_normalized_match""}","The net revenue for November 2011 was 145,614.50 GBP, which represents a **29.75%** [[increase]] from October 2011's 106,936.83 GBP. The absolute change is **38,677.67 GBP**, and the percentage change is ca...","The net revenue for November 2011 was 145,614.50 GBP, which represents a **29.75%** increase from October 2011's 106,936.83 GBP. The absolute change is **38,677.67 GBP**, and the percentage change is calculated by dividing the absolute change by the previous month's net revenue.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-10 | 1069368.23 | 1151263.73 | -81895.50 | 2402 |
| 2011-11 | 1456145.80 | 1503866.78 | -47720.98 | 3210 |",4,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,probability_mass_control,mean_spilled_probability_mass_after_top2,0.000225,0.021932,0.021707,false_positive,negative,positive,ann_full100_draft_q_0039_006,q_0039,p_0039,test,country_comparison_month,medium,currency_amount,correct_key_fact,0,"5,586.83 GBP",9,"In October 2011, did Germany or France generate more net revenue, and by how much?","Germany generated more net revenue than France by GBP 5,586.63 in October 2011.","Generated comparison difference is within tolerance of GBP 5,586.63.",high,draft_round3; correct_difference,"{""fact_type"": ""currency_amount"", ""field"": ""revenue_delta"", ""gold_display_value"": ""GBP 5,586.63"", ""gold_value"": 5586.63, ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","...Germany (30,604.27 GBP), with France earning a net revenue of -8,453.41 GBP. The difference in net revenue is [[5,586.83 GBP]].","France generated more net revenue (25,017.64 GBP) than Germany (30,604.27 GBP), with France earning a net revenue of -8,453.41 GBP. The difference in net revenue is 5,586.83 GBP.","| country | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| France | 25017.64 | 33471.05 | -8453.41 | 43 |
| Germany | 30604.27 | 31628.42 | -1024.15 | 73 |
| Netherlands | 40708.65 | 40708.65 | 0.00 | 15 |
| United Kingdom | 876246.45 | 935404.14 | -59157.69 | 2126 |",5,largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive
