span_id,confirmation_item_id,question_id,split,question_type,is_primary,question,span_text,span_start_char,span_end_char,fact_type,locked_span_label,verifier_label,claim_text,gold_short_answer,gold_contains_span_text,prompt_evidence_matches,simple_outcome,entropy_outcome,energy_outcome,simple_score,entropy_score,energy_score,detector_any_missed,detector_all_missed,review_note,verifier_reason
ann_full100_draft_q_0064_004,confirm_006,q_0064,test,top3_products_month,True,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","GBP 14,280.90",131,144,currency_amount,correct_key_fact,supported,"1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.",True,"[""row_1:22423:net_revenue""]",false alarm,false alarm,false alarm,0.799101,0.155575,0.016624,False,False,"The rank-1 amount is supported by gold evidence. It works well in the April 2011 paired example, where nearby spans include both supported and hallucinated claims.",Supported by the locked presentation review and consistent with the gold answer or prompt evidence for this business-fact span.
ann_full100_draft_q_0064_006,confirm_007,q_0064,test,top3_products_month,True,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.",PARTY BUNTING,153,166,product_name,correct_key_fact,supported,"2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.",True,"[""row_3:47566:description""]",false alarm,false alarm,false alarm,0.769828,0.189533,0.012085,False,False,The rank-2 product name is supported by gold evidence. This is a clean correct span inside the April 2011 paired contrast example.,Supported by the locked presentation review and consistent with the gold answer or prompt evidence for this business-fact span.
ann_full100_draft_q_0064_008,confirm_008,q_0064,test,top3_products_month,True,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.",3.,217,219,ranking,hallucinated_key_fact,contradicted,"3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.",True,"[""row_2:22499:net_revenue"", ""row_3:47566:net_revenue""]",missed,missed,missed,5.99999999995e-06,3.6e-05,1e-06,True,True,"The rank-3 marker is attached to WOODEN UNION JACK BUNTING, but gold rank 3 is PAPER CHAIN KIT EMPIRE. This is a clear hallucinated ranking span.","Contradicted in context: ranking markers are checked with the generated product or amount binding, not as standalone numbers."
ann_full100_draft_q_0064_010,confirm_009,q_0064,test,top3_products_month,True,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","GBP 4,173.18",281,293,currency_amount,hallucinated_key_fact,contradicted,"3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.",False,"[""row_2:22499:net_revenue""]",missed,missed,missed,1.9e-05,5.9e-05,1e-06,True,True,The rank-3 amount is for the wrong generated product and does not match the gold rank-3 revenue. This is a strong amount-level hallucination in the April 2011 example.,"Contradicted in context: the generated claim is not supported by the gold answer for the product, rank, amount, or conclusion binding."
ann_full100_draft_q_0069_005,confirm_011,q_0069,test,top3_products_month,True,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.",2.,149,151,ranking,hallucinated_key_fact,contradicted,2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.,"Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.",True,[],missed,missed,missed,1.6e-05,7.9e-05,2e-06,True,True,"The rank-2 marker is tied to PAPER CHAIN KIT 50'S CHRISTMAS, while gold rank 2 is REGENCY CAKESTAND 3 TIER. This is a clear detector-missed hallucinated ranking span.","Contradicted in context: ranking markers are checked with the generated product or amount binding, not as standalone numbers."
ann_full100_draft_q_0069_008,confirm_012,q_0069,test,top3_products_month,True,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.",3.,233,235,ranking,hallucinated_key_fact,contradicted,3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.,"Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.",True,"[""row_8:47566:gross_positive_revenue,net_revenue""]",missed,missed,missed,6.99999999998e-06,4.8e-05,2e-06,True,True,"The rank-3 marker is tied to REGENCY CAKESTAND 3 TIER, while gold rank 3 is JUMBO BAG RED RETROSPOT. This is a clear detector-missed hallucinated ranking span.","Contradicted in context: ranking markers are checked with the generated product or amount binding, not as standalone numbers."
ann_full100_draft_q_0069_010,confirm_013,q_0069,test,top3_products_month,True,"What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.",GBP 9315.03,296,307,currency_amount,hallucinated_key_fact,contradicted,3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.,"Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.",False,"[""row_3:22423:net_revenue""]",missed,missed,missed,3.2e-05,5.9e-05,2e-06,True,True,The amount is a real rank-2 amount but is used for rank 3. This is a useful example of a value that is locally plausible but wrong in its assigned business context.,"Contradicted in context: the generated claim is not supported by the gold answer for the product, rank, amount, or conclusion binding."
ann_full100_draft_q_0039_006,confirm_001,q_0039,test,country_comparison_month,False,"In October 2011, did Germany or France generate more net revenue, and by how much?","5,586.83 GBP",165,177,currency_amount,correct_key_fact,supported,"France generated more net revenue (25,017.64 GBP) than Germany (30,604.27 GBP), with France earning a net revenue of -8,453.41 GBP. The difference in net revenue is 5,586.83 GBP.","Germany generated more net revenue than France by GBP 5,586.63 in October 2011.",False,[],false alarm,false alarm,false alarm,0.550849,0.291525,0.021932,False,False,"The selected delta amount is within tolerance, but the generated sentence also says France generated more despite listing Germany as higher. Use only as a span-level false-positive example, not as a whole-answer correctness example.",Supported by the locked presentation review and consistent with the gold answer or prompt evidence for this business-fact span.
ann_full100_draft_q_0054_003,confirm_002,q_0054,test,monthly_revenue_change,False,How did net revenue change from May 2011 to June 2011? Provide the absolute change and percentage change.,decreased,40,49,comparison_direction,correct_key_fact,supported,"From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **-4.14%** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011.",True,[],cleared,false alarm,false alarm,0.06377,0.269832,0.028835,False,False,"The direction word is correct, while the amount in the same answer is off by a factor of about ten. This is safe only when framed as span-level labeling.",Supported by the locked presentation review and consistent with the gold answer or prompt evidence for this business-fact span.
ann_full100_draft_q_0054_005,confirm_003,q_0054,test,monthly_revenue_change,False,How did net revenue change from May 2011 to June 2011? Provide the absolute change and percentage change.,-4.14%,88,94,percentage,correct_key_fact,supported,"From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **-4.14%** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011.",False,[],false alarm,false alarm,false alarm,0.969707,0.997715,0.242012,False,False,"The percentage is within the configured tolerance, but it appears in an answer with a wrong absolute amount. If shown, mention the tolerance and avoid implying the full answer is correct.",Supported by the locked presentation review and consistent with the gold answer or prompt evidence for this business-fact span.
ann_full100_draft_q_0059_004,confirm_004,q_0059,test,monthly_revenue_change,False,How did net revenue change from October 2011 to November 2011? Provide the absolute change and percentage change.,increase,84,92,comparison_direction,correct_key_fact,supported,"The net revenue for November 2011 was 145,614.50 GBP, which represents a **29.75%** increase from October 2011's 106,936.83 GBP. The absolute change is **38,677.67 GBP**, and the percentage change is calculated by dividing the absolute change by the previous month's net revenue.","Net revenue increased by GBP 386,777.57 (36.17%) from October 2011 to November 2011.",True,[],cleared,false alarm,false alarm,0.209808,0.469527,0.023611,False,False,"The increase direction is correct, but the generated revenue and change figures are scaled down. Use as a span-level false-positive example only.",Supported by the locked presentation review and consistent with the gold answer or prompt evidence for this business-fact span.
ann_full100_draft_q_0063_010,confirm_005,q_0063,dev,top3_products_month,False,"What were the top 3 products by merchandise net revenue in March 2011? Give the rank, stock code, product name, and net revenue.",3.,218,220,ranking,hallucinated_key_fact,contradicted,3. **VINTAGE UNION JACK BUNTING** (21621) with a net revenue of GBP 5214.33.,"Top 3 products in March 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 16,817.85; 2. 85099B (JUMBO BAG RED RETROSPOT), GBP 10,116.43; 3. 47566 (PARTY BUNTING), GBP 9,098.27.",True,"[""row_3:47566:gross_positive_revenue"", ""row_4:85099F:gross_positive_revenue,net_revenue"", ""row_6:22084:gross_positive_revenue,net_revenue""]",missed,missed,missed,4e-06,3.1e-05,1e-06,True,True,"The span is the rank-3 list marker and is tied to the wrong generated product. This is mainly useful as an offset-regression check, not as a detector error example.","Contradicted in context: ranking markers are checked with the generated product or amount binding, not as standalone numbers."
ann_full100_draft_q_0068_008,confirm_010,q_0068,dev,top3_products_month,False,"What were the top 3 products by merchandise net revenue in August 2011? Give the rank, stock code, product name, and net revenue.",3.,226,228,ranking,hallucinated_key_fact,contradicted,"3. **SPOTTY BUNTING** (rank 3), with a net revenue of GBP 7,864.43.","Top 3 products in August 2011: 1. 85099B (JUMBO BAG RED RETROSPOT), GBP 10,441.77; 2. 84879 (ASSORTED COLOUR BIRD ORNAMENT), GBP 9,867.04; 3. 47566 (PARTY BUNTING), GBP 9,655.25.",True,"[""row_5:23199:gross_positive_revenue"", ""row_8:22423:net_revenue""]",missed,missed,missed,5.00000000003e-06,3.7e-05,1e-06,True,True,"The span is the rank-3 list marker, not a decimal inside the nearby amount. Keep this primarily as an offset-regression check.","Contradicted in context: ranking markers are checked with the generated product or amount binding, not as standalone numbers."
ann_full100_draft_q_0093_002,confirm_014,q_0093,test,return_impact_month,False,"In April 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","£44,600.65",75,85,currency_amount,correct_key_fact,supported,"In April 2011, cancellations and returns reduced gross positive revenue by £44,600.65, resulting in a final net revenue of £44,600.65.","Cancellations and returns reduced gross positive revenue by GBP 44,600.65 (8.31% of gross), leaving net revenue of GBP 492,367.84.",False,[],false alarm,false alarm,false alarm,0.910483,0.350166,0.075874,False,False,"The reduction amount is correct, but the generated final net revenue repeats that same value and is wrong. Use only to show a correct span that a detector flags, with a clear span-level caveat.",Supported by the locked presentation review and consistent with the gold answer or prompt evidence for this business-fact span.
ann_full100_draft_q_0098_002,confirm_015,q_0098,test,return_impact_month,False,"In September 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","GBP 38,838.51",79,92,currency_amount,correct_key_fact,supported,"In September 2011, cancellations and returns reduced gross positive revenue by GBP 38,838.51, resulting in a net revenue of GBP 101,759.68.","Cancellations and returns reduced gross positive revenue by GBP 38,838.51 (3.68% of gross), leaving net revenue of GBP 1,017,596.68.",True,[],false alarm,false alarm,false alarm,0.700917,0.129517,0.018201,False,False,"The reduction amount is correct, but the final net revenue is off by a factor of ten. Use only as a span-level false-positive example.",Supported by the locked presentation review and consistent with the gold answer or prompt evidence for this business-fact span.
