baseline,baseline_role,score_field,threshold,score,score_minus_threshold,error_type,actual_class,predicted_class,annotation_id,question_id,prompt_id,question_type,difficulty,split,fact_type,label,span_text,token_count,question,gold_short_answer,annotation_reason,gold_reference,generated_excerpt
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.005369,-0.027419,false_negative,positive,negative,ann_q_0017_006,q_0017,p_0017,top_product_month,medium,train,product_name,hallucinated_key_fact,CHILLI LIGHTS,5,"Which product had the highest merchandise net revenue in December 2010? Provide the stock code, product name, and net revenue.","22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in December 2010 at GBP 26,722.16.","Gold top product is REGENCY CAKESTAND 3 TIER, not CHILLI LIGHTS.","{""field"": ""description"", ""value"": ""REGENCY CAKESTAND 3 TIER""}","...**GBP 7506.44**. The ranking is 1. The stock code is **79321**, and the product name is **[[CHILLI LIGHTS]]**."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,8.5e-05,-0.032703,false_negative,positive,negative,ann_q_0060_005,q_0060,p_0060,top3_products_month,medium,train,ranking,hallucinated_key_fact,2.,2,"What were the top 3 products by merchandise net revenue in December 2010? Give the rank, stock code, product name, and net revenue.","Top 3 products in December 2010: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 26,722.16; 2. 84029E (RED WOOLLY HOTTIE WHITE HEART.), GBP 9,291.73; 3. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 9,187.45.",The rank-2 marker is tied to the wrong generated product.,"{""field"": ""top_products[1].rank_item"", ""value"": ""2. 84029E / RED WOOLLY HOTTIE WHITE HEART.""}","...re: 1. **WHITE SKULL HOT WATER BOTTLE** (rank 1), with a net revenue of GBP 8,224.98. [[2.]] **CHILLI LIGHTS** (rank 2), with a net revenue of GBP 7,506.44. 3. **PAPER CHAIN KIT 50..."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.000364,-0.032424,false_negative,positive,negative,ann_q_0060_007,q_0060,p_0060,top3_products_month,medium,train,currency_amount,hallucinated_key_fact,"GBP 7,506.44",10,"What were the top 3 products by merchandise net revenue in December 2010? Give the rank, stock code, product name, and net revenue.","Top 3 products in December 2010: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 26,722.16; 2. 84029E (RED WOOLLY HOTTIE WHITE HEART.), GBP 9,291.73; 3. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 9,187.45.","Gold rank-2 product revenue is GBP 9,291.73, not GBP 7,506.44.","{""field"": ""top_products[1].merchandise_net_revenue"", ""value"": ""GBP 9,291.73""}","...ith a net revenue of GBP 8,224.98. 2. **CHILLI LIGHTS** (rank 2), with a net revenue of [[GBP 7,506.44]]. 3. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 3), with a net revenue of GBP 9,187.45."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,9.2e-05,-0.032696,false_negative,positive,negative,ann_q_0065_005,q_0065,p_0065,top3_products_month,medium,train,ranking,hallucinated_key_fact,2.,2,"What were the top 3 products by merchandise net revenue in May 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in May 2011: 1. 47566 (PARTY BUNTING), GBP 19,093.30; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,217.27; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 11,172.17.",The rank-2 marker is tied to the wrong generated product.,"{""field"": ""top_products[1].rank_item"", ""value"": ""2. 22423 / REGENCY CAKESTAND 3 TIER""}","...1 were: 1. DOORMAT KEEP CALM AND COME IN (rank 1), with a net revenue of GBP 5952.26. [[2.]] JUMBO BAG RED RETROSPOT (rank 2), with a net revenue of GBP 7114.70. 3. PARTY BUNTING (..."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.000384,-0.032404,false_negative,positive,negative,ann_q_0065_007,q_0065,p_0065,top3_products_month,medium,train,currency_amount,hallucinated_key_fact,GBP 7114.70,9,"What were the top 3 products by merchandise net revenue in May 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in May 2011: 1. 47566 (PARTY BUNTING), GBP 19,093.30; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,217.27; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 11,172.17.","Gold rank-2 product revenue is GBP 12,217.27, not GBP 7,114.70.","{""field"": ""top_products[1].merchandise_net_revenue"", ""value"": ""GBP 12,217.27""}","... net revenue of GBP 5952.26. 2. JUMBO BAG RED RETROSPOT (rank 2), with a net revenue of [[GBP 7114.70]]. 3. PARTY BUNTING (rank 3), with a net revenue of GBP 19093.30."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.000108,-0.03268,false_negative,positive,negative,ann_q_0065_008,q_0065,p_0065,top3_products_month,medium,train,ranking,hallucinated_key_fact,3.,2,"What were the top 3 products by merchandise net revenue in May 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in May 2011: 1. 47566 (PARTY BUNTING), GBP 19,093.30; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,217.27; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 11,172.17.","The rank-3 marker is tied to PARTY BUNTING, but gold rank 3 is WHITE HANGING HEART T-LIGHT HOLDER.","{""field"": ""top_products[2].rank_item"", ""value"": ""3. 85123A / WHITE HANGING HEART T-LIGHT HOLDER""}","... GBP 5952.26. 2. JUMBO BAG RED RETROSPOT (rank 2), with a net revenue of GBP 7114.70. [[3.]] PARTY BUNTING (rank 3), with a net revenue of GBP 19093.30."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.002476,-0.030312,false_negative,positive,negative,ann_q_0065_010,q_0065,p_0065,top3_products_month,medium,train,currency_amount,hallucinated_key_fact,GBP 19093.30,10,"What were the top 3 products by merchandise net revenue in May 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in May 2011: 1. 47566 (PARTY BUNTING), GBP 19,093.30; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,217.27; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 11,172.17.","GBP 19,093.30 is the rank-1 product revenue, but the generated answer uses it for rank 3.","{""field"": ""top_products[2].merchandise_net_revenue"", ""value"": ""GBP 11,172.17""}","...2), with a net revenue of GBP 7114.70. 3. PARTY BUNTING (rank 3), with a net revenue of [[GBP 19093.30]]."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.000383,-0.032405,false_negative,positive,negative,ann_q_0072_006,q_0072,p_0072,top3_products_month,medium,train,ranking,hallucinated_key_fact,2.,2,"What were the top 3 products by merchandise net revenue in December 2011 through December 9? Give the rank, stock code, product name, and net revenue.","Top 3 products in December 2011 through December 9: 1. 23084 (RABBIT NIGHT LIGHT), GBP 9,603.45; 2. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 6,867.76; 3. 22423 (REGENCY CAKESTAND 3 TIER), GBP 5,890.17.",The rank-2 marker is tied to the gold rank-1 product instead of the gold rank-2 product.,"{""field"": ""top_products[1].rank_item"", ""value"": ""2. 22086 / PAPER CHAIN KIT 50'S CHRISTMAS""}",...ugh December 9 were: 1. **POPcORN HOLDER** (22197) with a net revenue of GBP 5409.86. [[2.]] **RABBIT NIGHT LIGHT** (23084) with a net revenue of GBP 9603.45. 3. **METAL SIGN TAKE ...
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.00087,-0.031918,false_negative,positive,negative,ann_q_0072_008,q_0072,p_0072,top3_products_month,medium,train,product_stock_code,hallucinated_key_fact,23084,5,"What were the top 3 products by merchandise net revenue in December 2011 through December 9? Give the rank, stock code, product name, and net revenue.","Top 3 products in December 2011 through December 9: 1. 23084 (RABBIT NIGHT LIGHT), GBP 9,603.45; 2. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 6,867.76; 3. 22423 (REGENCY CAKESTAND 3 TIER), GBP 5,890.17.","Stock code 23084 belongs to the gold rank-1 product, not the gold rank-2 product.","{""field"": ""top_products[1].stock_code"", ""value"": ""22086""}",...*POPcORN HOLDER** (22197) with a net revenue of GBP 5409.86. 2. **RABBIT NIGHT LIGHT** ([[23084]]) with a net revenue of GBP 9603.45. 3. **METAL SIGN TAKE IT OR LEAVE IT** (22413) with ...
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.00115,-0.031638,false_negative,positive,negative,ann_q_0072_009,q_0072,p_0072,top3_products_month,medium,train,currency_amount,hallucinated_key_fact,GBP 9603.45,9,"What were the top 3 products by merchandise net revenue in December 2011 through December 9? Give the rank, stock code, product name, and net revenue.","Top 3 products in December 2011 through December 9: 1. 23084 (RABBIT NIGHT LIGHT), GBP 9,603.45; 2. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 6,867.76; 3. 22423 (REGENCY CAKESTAND 3 TIER), GBP 5,890.17.","GBP 9,603.45 is the rank-1 product revenue, but the generated answer uses it for rank 2.","{""field"": ""top_products[1].merchandise_net_revenue"", ""value"": ""GBP 6,867.76""}",...h a net revenue of GBP 5409.86. 2. **RABBIT NIGHT LIGHT** (23084) with a net revenue of [[GBP 9603.45]]. 3. **METAL SIGN TAKE IT OR LEAVE IT** (22413) with a net revenue of GBP 3996.70. Th...
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.000143,-0.032645,false_negative,positive,negative,ann_q_0072_010,q_0072,p_0072,top3_products_month,medium,train,ranking,hallucinated_key_fact,3.,2,"What were the top 3 products by merchandise net revenue in December 2011 through December 9? Give the rank, stock code, product name, and net revenue.","Top 3 products in December 2011 through December 9: 1. 23084 (RABBIT NIGHT LIGHT), GBP 9,603.45; 2. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 6,867.76; 3. 22423 (REGENCY CAKESTAND 3 TIER), GBP 5,890.17.",The rank-3 marker is tied to the wrong generated product.,"{""field"": ""top_products[2].rank_item"", ""value"": ""3. 22423 / REGENCY CAKESTAND 3 TIER""}",... of GBP 5409.86. 2. **RABBIT NIGHT LIGHT** (23084) with a net revenue of GBP 9603.45. [[3.]] **METAL SIGN TAKE IT OR LEAVE IT** (22413) with a net revenue of GBP 3996.70. These pr...
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.002466,-0.030322,false_negative,positive,negative,ann_q_0088_002,q_0088,p_0088,product_revenue_share_month,hard,train,currency_amount,hallucinated_key_fact,13961.94,8,What percentage of merchandise net revenue in November 2011 came from the top 3 products combined?,"In November 2011, the top 3 products contributed GBP 77,311.21 out of GBP 1,427,121.25, or 5.42% of merchandise net revenue.",The second generated component amount does not match the rank-2 product revenue.,"{""field"": ""top_products[1].merchandise_net_revenue"", ""value"": ""GBP 28,853.54""}","The top 3 products combined contributed 34343.77 + [[13961.94]] + 12816.79 = GBP 61122.50. The total merchandise net revenue for November 2011 was GBP 1,..."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.051386,0.018598,false_positive,negative,positive,ann_q_0001_002,q_0001,p_0001,top_country_month,medium,train,country,correct_key_fact,United Kingdom,2,"Which country had the highest net revenue in January 2011, excluding the United Kingdom?","Netherlands had the highest net revenue in January 2011 (excluding United Kingdom) at GBP 26,611.16.",Correctly repeats the country excluded by the question scope.,"{""field"": ""scope_exclusion"", ""value"": ""United Kingdom""}","The country with the highest net revenue in January 2011, excluding the [[United Kingdom]], is **Spain** with a net revenue of **GBP 7178.54**. The ranking is **2nd**."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.454678,0.42189,false_positive,negative,positive,ann_q_0012_002,q_0012,p_0012,top_country_month,easy,train,country,correct_key_fact,United Kingdom,2,Which country had the highest net revenue in January 2011?,"United Kingdom had the highest net revenue in January 2011 (all countries) at GBP 432,995.40.",Gold answer country is United Kingdom.,"{""field"": ""country"", ""value"": ""United Kingdom""}","The country with the highest net revenue in January 2011 was the [[United Kingdom]], with a net revenue of £432,995.40. The United Kingdom ranked 1st with a 100% gross posit..."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,1.339111,1.306323,false_positive,negative,positive,ann_q_0012_003,q_0012,p_0012,top_country_month,easy,train,currency_amount,correct_key_fact,"£432,995.40",11,Which country had the highest net revenue in January 2011?,"United Kingdom had the highest net revenue in January 2011 (all countries) at GBP 432,995.40.",Generated amount matches the gold net revenue value.,"{""field"": ""net_revenue"", ""value"": ""GBP 432,995.40""}","...ith the highest net revenue in January 2011 was the United Kingdom, with a net revenue of [[£432,995.40]]. The United Kingdom ranked 1st with a 100% gross positive revenue and a cancellation retu..."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,1.232375,1.199587,false_positive,negative,positive,ann_q_0012_004,q_0012,p_0012,top_country_month,easy,train,ranking,correct_key_fact,ranked 1st,4,Which country had the highest net revenue in January 2011?,"United Kingdom had the highest net revenue in January 2011 (all countries) at GBP 432,995.40.",United Kingdom is the highest net revenue country in the evidence table.,"{""field"": ""rank"", ""value"": ""1st""}","...anuary 2011 was the United Kingdom, with a net revenue of £432,995.40. The United Kingdom [[ranked 1st]] with a 100% gross positive revenue and a cancellation return revenue of £0.00."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,0.937472,0.904684,false_positive,negative,positive,ann_q_0016_001,q_0016,p_0016,top_country_month,easy,train,country,correct_key_fact,United Kingdom,2,Which country had the highest net revenue in November 2011?,"United Kingdom had the highest net revenue in November 2011 (all countries) at GBP 1,277,409.79.",Gold answer country is United Kingdom.,"{""field"": ""country"", ""value"": ""United Kingdom""}","The [[United Kingdom]] had the highest net revenue in November 2011, with a net revenue of £1,277,409.79. The ca..."
max_token_entropy,best_by_auprc,max_token_entropy,0.032788,1.165575,1.132787,false_positive,negative,positive,ann_q_0016_003,q_0016,p_0016,top_country_month,easy,train,currency_amount,correct_key_fact,"£1,277,409.79",13,Which country had the highest net revenue in November 2011?,"United Kingdom had the highest net revenue in November 2011 (all countries) at GBP 1,277,409.79.",Generated net revenue matches the gold value.,"{""field"": ""net_revenue"", ""value"": ""GBP 1,277,409.79""}","The United Kingdom had the highest net revenue in November 2011, with a net revenue of [[£1,277,409.79]]. The calculation is based on its gross positive revenue of £1,319,934.07 and a cancellati..."
