error_family,short_name,example_rank,baseline,error_type,severity,score,threshold,annotation_id,question_id,question_type,fact_type,span_text,gold_short_answer,annotation_reason,generated_excerpt
confident_wrong_numeric_value,Confident wrong numeric value,1,max_token_entropy,false_negative,0.030322,0.002466,0.032788,ann_q_0088_002,q_0088,product_revenue_share_month,currency_amount,13961.94,"In November 2011, the top 3 products contributed GBP 77,311.21 out of GBP 1,427,121.25, or 5.42% of merchandise net revenue.",The second generated component amount does not match the rank-2 product revenue.,"The top 3 products combined contributed 34343.77 + [[13961.94]] + 12816.79 = GBP 61122.50. The total merchandise net revenue for November 2011 was GBP 1,..."
confident_wrong_numeric_value,Confident wrong numeric value,2,one_minus_min_top2_margin,false_negative,0.012611,0.000448,0.013059,ann_q_0088_002,q_0088,product_revenue_share_month,currency_amount,13961.94,"In November 2011, the top 3 products contributed GBP 77,311.21 out of GBP 1,427,121.25, or 5.42% of merchandise net revenue.",The second generated component amount does not match the rank-2 product revenue.,"The top 3 products combined contributed 34343.77 + [[13961.94]] + 12816.79 = GBP 61122.50. The total merchandise net revenue for November 2011 was GBP 1,..."
confident_wrong_numeric_value,Confident wrong numeric value,3,one_minus_min_top2_margin,false_negative,0.003523,0.009536,0.013059,ann_q_0084_004,q_0084,product_revenue_share_month,currency_amount,GBP 5133.77,"In January 2011, the top 3 products contributed GBP 33,787.17 out of GBP 578,914.41, or 5.84% of merchandise net revenue.",The third generated component amount does not match the rank-3 product revenue.,"...t revenue in January 2011 for the top 3 products combined was GBP 5209.79 + GBP 5580.98 + [[GBP 5133.77]] = GBP 15,924.54. The total merchandise net revenue for the month was GBP 578,914.41. The ..."
confident_wrong_product_identity,Confident wrong product identity,1,max_token_entropy,false_negative,0.027419,0.005369,0.032788,ann_q_0017_006,q_0017,top_product_month,product_name,CHILLI LIGHTS,"22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in December 2010 at GBP 26,722.16.","Gold top product is REGENCY CAKESTAND 3 TIER, not CHILLI LIGHTS.","...**GBP 7506.44**. The ranking is 1. The stock code is **79321**, and the product name is **[[CHILLI LIGHTS]]**."
confident_wrong_product_identity,Confident wrong product identity,2,one_minus_min_top2_margin,false_negative,0.011902,0.001157,0.013059,ann_q_0017_006,q_0017,top_product_month,product_name,CHILLI LIGHTS,"22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in December 2010 at GBP 26,722.16.","Gold top product is REGENCY CAKESTAND 3 TIER, not CHILLI LIGHTS.","...**GBP 7506.44**. The ranking is 1. The stock code is **79321**, and the product name is **[[CHILLI LIGHTS]]**."
confident_wrong_top3_ranked_item,Confident wrong top-3 ranking,1,max_token_entropy,false_negative,0.032703,8.5e-05,0.032788,ann_q_0060_005,q_0060,top3_products_month,ranking,2.,"Top 3 products in December 2010: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 26,722.16; 2. 84029E (RED WOOLLY HOTTIE WHITE HEART.), GBP 9,291.73; 3. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 9,187.45.",The rank-2 marker is tied to the wrong generated product.,"...re: 1. **WHITE SKULL HOT WATER BOTTLE** (rank 1), with a net revenue of GBP 8,224.98. [[2.]] **CHILLI LIGHTS** (rank 2), with a net revenue of GBP 7,506.44. 3. **PAPER CHAIN KIT 50..."
confident_wrong_top3_ranked_item,Confident wrong top-3 ranking,2,max_token_entropy,false_negative,0.032696,9.2e-05,0.032788,ann_q_0065_005,q_0065,top3_products_month,ranking,2.,"Top 3 products in May 2011: 1. 47566 (PARTY BUNTING), GBP 19,093.30; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,217.27; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 11,172.17.",The rank-2 marker is tied to the wrong generated product.,"...1 were: 1. DOORMAT KEEP CALM AND COME IN (rank 1), with a net revenue of GBP 5952.26. [[2.]] JUMBO BAG RED RETROSPOT (rank 2), with a net revenue of GBP 7114.70. 3. PARTY BUNTING (..."
confident_wrong_top3_ranked_item,Confident wrong top-3 ranking,3,max_token_entropy,false_negative,0.03268,0.000108,0.032788,ann_q_0065_008,q_0065,top3_products_month,ranking,3.,"Top 3 products in May 2011: 1. 47566 (PARTY BUNTING), GBP 19,093.30; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,217.27; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 11,172.17.","The rank-3 marker is tied to PARTY BUNTING, but gold rank 3 is WHITE HANGING HEART T-LIGHT HOLDER.","... GBP 5952.26. 2. JUMBO BAG RED RETROSPOT (rank 2), with a net revenue of GBP 7114.70. [[3.]] PARTY BUNTING (rank 3), with a net revenue of GBP 19093.30."
correct_business_definition_flagged_uncertain,Correct business definition flagged,1,max_token_entropy,false_positive,1.163397,1.196185,0.032788,ann_q_0100_006,q_0100,return_impact_month,business_definition,negative cancellation_return_revenue,"Cancellations and returns reduced gross positive revenue by GBP 47,720.98 (3.17% of gross), leaving net revenue of GBP 1,456,145.80.",The evidence table and metric definition support cancellation_return_revenue being negative for this month.,"...t revenue of GBP 145,6145.80. The reduction was reported as a positive amount despite the [[negative cancellation_return_revenue]]."
correct_business_definition_flagged_uncertain,Correct business definition flagged,2,max_token_entropy,false_positive,1.048525,1.081313,0.032788,ann_q_0089_006,q_0089,return_impact_month,business_definition,negative cancellation_return_revenue,"Cancellations and returns reduced gross positive revenue by GBP 74,729.12 (9.10% of gross), leaving net revenue of GBP 746,723.61.",The evidence table and metric definition support cancellation_return_revenue being negative for this month.,"...et revenue of GBP 746,723.61. The reduction was reported as a positive amount despite the [[negative cancellation_return_revenue]]."
