family,baseline_role,baseline,error_type,group_value,count
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_negative,product_revenue_share_month,2
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_negative,top3_products_month,6
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_negative,top_product_month,2
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,country_comparison_month,5
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,monthly_revenue_change,6
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,product_revenue_share_month,2
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,return_impact_month,2
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,top3_products_month,4
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,top_country_month,1
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,country_comparison_month,5
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,monthly_revenue_change,1
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,product_revenue_share_month,3
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,top3_products_month,6
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,top_country_month,1
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,top_product_month,4
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_positive,country_comparison_month,2
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_positive,monthly_revenue_change,1
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_positive,return_impact_month,2
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_positive,top3_products_month,2
