question_id,split,question_type,difficulty,question,gold_short_answer,evidence_source
q_0001,train,top_country_month,medium,"Which country had the highest net revenue in January 2011, excluding the United Kingdom?","Netherlands had the highest net revenue in January 2011 (excluding United Kingdom) at GBP 26,611.16.",country_month_net_revenue_summary.csv
q_0002,train,top_country_month,medium,"Which country had the highest net revenue in February 2011, excluding the United Kingdom?","Netherlands had the highest net revenue in February 2011 (excluding United Kingdom) at GBP 22,932.11.",country_month_net_revenue_summary.csv
q_0003,train,top_country_month,medium,"Which country had the highest net revenue in March 2011, excluding the United Kingdom?","Netherlands had the highest net revenue in March 2011 (excluding United Kingdom) at GBP 22,416.49.",country_month_net_revenue_summary.csv
q_0004,dev,top_country_month,medium,"Which country had the highest net revenue in April 2011, excluding the United Kingdom?","Germany had the highest net revenue in April 2011 (excluding United Kingdom) at GBP 11,963.37.",country_month_net_revenue_summary.csv
q_0005,test,top_country_month,medium,"Which country had the highest net revenue in May 2011, excluding the United Kingdom?","Netherlands had the highest net revenue in May 2011 (excluding United Kingdom) at GBP 29,185.88.",country_month_net_revenue_summary.csv
q_0006,train,top_country_month,medium,"Which country had the highest net revenue in June 2011, excluding the United Kingdom?","Netherlands had the highest net revenue in June 2011 (excluding United Kingdom) at GBP 26,843.09.",country_month_net_revenue_summary.csv
q_0007,train,top_country_month,medium,"Which country had the highest net revenue in July 2011, excluding the United Kingdom?","EIRE had the highest net revenue in July 2011 (excluding United Kingdom) at GBP 42,689.65.",country_month_net_revenue_summary.csv
q_0008,train,top_country_month,medium,"Which country had the highest net revenue in August 2011, excluding the United Kingdom?","Netherlands had the highest net revenue in August 2011 (excluding United Kingdom) at GBP 39,655.81.",country_month_net_revenue_summary.csv
q_0009,dev,top_country_month,medium,"Which country had the highest net revenue in September 2011, excluding the United Kingdom?","EIRE had the highest net revenue in September 2011 (excluding United Kingdom) at GBP 42,476.20.",country_month_net_revenue_summary.csv
q_0010,test,top_country_month,medium,"Which country had the highest net revenue in October 2011, excluding the United Kingdom?","Netherlands had the highest net revenue in October 2011 (excluding United Kingdom) at GBP 40,708.65.",country_month_net_revenue_summary.csv
q_0011,train,top_country_month,medium,"Which country had the highest net revenue in November 2011, excluding the United Kingdom?","France had the highest net revenue in November 2011 (excluding United Kingdom) at GBP 30,638.12.",country_month_net_revenue_summary.csv
q_0012,train,top_country_month,easy,Which country had the highest net revenue in January 2011?,"United Kingdom had the highest net revenue in January 2011 (all countries) at GBP 432,995.40.",country_month_net_revenue_summary.csv
q_0013,train,top_country_month,easy,Which country had the highest net revenue in March 2011?,"United Kingdom had the highest net revenue in March 2011 (all countries) at GBP 558,458.89.",country_month_net_revenue_summary.csv
q_0014,dev,top_country_month,easy,Which country had the highest net revenue in June 2011?,"United Kingdom had the highest net revenue in June 2011 (all countries) at GBP 553,330.21.",country_month_net_revenue_summary.csv
q_0015,test,top_country_month,easy,Which country had the highest net revenue in September 2011?,"United Kingdom had the highest net revenue in September 2011 (all countries) at GBP 860,104.36.",country_month_net_revenue_summary.csv
q_0016,train,top_country_month,easy,Which country had the highest net revenue in November 2011?,"United Kingdom had the highest net revenue in November 2011 (all countries) at GBP 1,277,409.79.",country_month_net_revenue_summary.csv
q_0017,train,top_product_month,medium,"Which product had the highest merchandise net revenue in December 2010? Provide the stock code, product name, and net revenue.","22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in December 2010 at GBP 26,722.16.",product_month_net_revenue_summary.csv
q_0018,train,top_product_month,medium,"Which product had the highest merchandise net revenue in January 2011? Provide the stock code, product name, and net revenue.","85123A (WHITE HANGING HEART T-LIGHT HOLDER) had the highest merchandise net revenue in January 2011 at GBP 15,174.26.",product_month_net_revenue_summary.csv
q_0019,train,top_product_month,medium,"Which product had the highest merchandise net revenue in February 2011? Provide the stock code, product name, and net revenue.","22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in February 2011 at GBP 10,491.54.",product_month_net_revenue_summary.csv
q_0020,dev,top_product_month,medium,"Which product had the highest merchandise net revenue in March 2011? Provide the stock code, product name, and net revenue.","22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in March 2011 at GBP 16,817.85.",product_month_net_revenue_summary.csv
q_0021,test,top_product_month,medium,"Which product had the highest merchandise net revenue in April 2011? Provide the stock code, product name, and net revenue.","22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in April 2011 at GBP 14,280.90.",product_month_net_revenue_summary.csv
q_0022,train,top_product_month,medium,"Which product had the highest merchandise net revenue in May 2011? Provide the stock code, product name, and net revenue.","47566 (PARTY BUNTING) had the highest merchandise net revenue in May 2011 at GBP 19,093.30.",product_month_net_revenue_summary.csv
q_0023,train,top_product_month,medium,"Which product had the highest merchandise net revenue in June 2011? Provide the stock code, product name, and net revenue.","22502 (PICNIC BASKET WICKER 60 PIECES) had the highest merchandise net revenue in June 2011 at GBP 39,619.50.",product_month_net_revenue_summary.csv
q_0024,train,top_product_month,medium,"Which product had the highest merchandise net revenue in July 2011? Provide the stock code, product name, and net revenue.","47566 (PARTY BUNTING) had the highest merchandise net revenue in July 2011 at GBP 14,576.50.",product_month_net_revenue_summary.csv
q_0025,dev,top_product_month,medium,"Which product had the highest merchandise net revenue in August 2011? Provide the stock code, product name, and net revenue.","85099B (JUMBO BAG RED RETROSPOT) had the highest merchandise net revenue in August 2011 at GBP 10,441.77.",product_month_net_revenue_summary.csv
q_0026,test,top_product_month,medium,"Which product had the highest merchandise net revenue in September 2011? Provide the stock code, product name, and net revenue.","23243 (SET OF TEA COFFEE SUGAR TINS PANTRY) had the highest merchandise net revenue in September 2011 at GBP 9,971.51.",product_month_net_revenue_summary.csv
q_0027,train,top_product_month,medium,"Which product had the highest merchandise net revenue in October 2011? Provide the stock code, product name, and net revenue.","22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in October 2011 at GBP 12,635.34.",product_month_net_revenue_summary.csv
q_0028,train,top_product_month,medium,"Which product had the highest merchandise net revenue in November 2011? Provide the stock code, product name, and net revenue.","23084 (RABBIT NIGHT LIGHT) had the highest merchandise net revenue in November 2011 at GBP 34,343.77.",product_month_net_revenue_summary.csv
q_0029,train,top_product_month,medium,"Which product had the highest merchandise net revenue in December 2011 through December 9? Provide the stock code, product name, and net revenue.","23084 (RABBIT NIGHT LIGHT) had the highest merchandise net revenue in December 2011 through December 9 at GBP 9,603.45.",product_month_net_revenue_summary.csv
q_0030,train,country_comparison_month,medium,"In January 2011, did Germany or France generate more net revenue, and by how much?","France generated more net revenue than Germany by GBP 1,081.64 in January 2011.",country_month_net_revenue_summary.csv
q_0031,train,country_comparison_month,medium,"In February 2011, did Germany or France generate more net revenue, and by how much?",Germany generated more net revenue than France by GBP 530.33 in February 2011.,country_month_net_revenue_summary.csv
q_0032,train,country_comparison_month,medium,"In March 2011, did Germany or France generate more net revenue, and by how much?",France generated more net revenue than Germany by GBP 342.28 in March 2011.,country_month_net_revenue_summary.csv
q_0033,dev,country_comparison_month,medium,"In April 2011, did Germany or France generate more net revenue, and by how much?","Germany generated more net revenue than France by GBP 7,768.16 in April 2011.",country_month_net_revenue_summary.csv
q_0034,test,country_comparison_month,medium,"In May 2011, did Germany or France generate more net revenue, and by how much?","Germany generated more net revenue than France by GBP 8,036.17 in May 2011.",country_month_net_revenue_summary.csv
q_0035,train,country_comparison_month,medium,"In June 2011, did Germany or France generate more net revenue, and by how much?","France generated more net revenue than Germany by GBP 2,938.60 in June 2011.",country_month_net_revenue_summary.csv
q_0036,train,country_comparison_month,medium,"In July 2011, did Germany or France generate more net revenue, and by how much?","Germany generated more net revenue than France by GBP 5,832.67 in July 2011.",country_month_net_revenue_summary.csv
q_0037,train,country_comparison_month,medium,"In August 2011, did Germany or France generate more net revenue, and by how much?","Germany generated more net revenue than France by GBP 5,234.39 in August 2011.",country_month_net_revenue_summary.csv
q_0038,dev,country_comparison_month,medium,"In September 2011, did Germany or France generate more net revenue, and by how much?","France generated more net revenue than Germany by GBP 5,490.31 in September 2011.",country_month_net_revenue_summary.csv
q_0039,test,country_comparison_month,medium,"In October 2011, did Germany or France generate more net revenue, and by how much?","Germany generated more net revenue than France by GBP 5,586.63 in October 2011.",country_month_net_revenue_summary.csv
q_0040,train,country_comparison_month,medium,"In November 2011, did Germany or France generate more net revenue, and by how much?","France generated more net revenue than Germany by GBP 4,651.11 in November 2011.",country_month_net_revenue_summary.csv
q_0041,train,country_comparison_month,medium,"In January 2011, did Netherlands or EIRE generate more net revenue, and by how much?","Netherlands generated more net revenue than EIRE by GBP 4,954.64 in January 2011.",country_month_net_revenue_summary.csv
q_0042,train,country_comparison_month,medium,"In February 2011, did Netherlands or EIRE generate more net revenue, and by how much?","Netherlands generated more net revenue than EIRE by GBP 13,302.97 in February 2011.",country_month_net_revenue_summary.csv
q_0043,dev,country_comparison_month,medium,"In March 2011, did Netherlands or EIRE generate more net revenue, and by how much?","Netherlands generated more net revenue than EIRE by GBP 3,633.26 in March 2011.",country_month_net_revenue_summary.csv
q_0044,test,country_comparison_month,medium,"In April 2011, did Netherlands or EIRE generate more net revenue, and by how much?","EIRE generated more net revenue than Netherlands by GBP 4,593.94 in April 2011.",country_month_net_revenue_summary.csv
q_0045,train,country_comparison_month,medium,"In May 2011, did Netherlands or EIRE generate more net revenue, and by how much?","Netherlands generated more net revenue than EIRE by GBP 11,269.57 in May 2011.",country_month_net_revenue_summary.csv
q_0046,train,country_comparison_month,medium,"In June 2011, did Netherlands or EIRE generate more net revenue, and by how much?","Netherlands generated more net revenue than EIRE by GBP 6,752.84 in June 2011.",country_month_net_revenue_summary.csv
q_0047,train,country_comparison_month,medium,"In July 2011, did Netherlands or EIRE generate more net revenue, and by how much?","EIRE generated more net revenue than Netherlands by GBP 42,663.63 in July 2011.",country_month_net_revenue_summary.csv
q_0048,dev,country_comparison_month,medium,"In August 2011, did Netherlands or EIRE generate more net revenue, and by how much?","Netherlands generated more net revenue than EIRE by GBP 27,507.89 in August 2011.",country_month_net_revenue_summary.csv
q_0049,test,country_comparison_month,medium,"In September 2011, did Netherlands or EIRE generate more net revenue, and by how much?","EIRE generated more net revenue than Netherlands by GBP 15,538.94 in September 2011.",country_month_net_revenue_summary.csv
q_0050,train,monthly_revenue_change,hard,How did net revenue change from January 2011 to February 2011? Provide the absolute change and percentage change.,"Net revenue decreased by GBP 61,422.15 (-11.00%) from January 2011 to February 2011.",monthly_net_revenue_summary.csv
q_0051,train,monthly_revenue_change,hard,How did net revenue change from February 2011 to March 2011? Provide the absolute change and percentage change.,"Net revenue increased by GBP 184,987.57 (37.22%) from February 2011 to March 2011.",monthly_net_revenue_summary.csv
q_0052,train,monthly_revenue_change,hard,How did net revenue change from March 2011 to April 2011? Provide the absolute change and percentage change.,"Net revenue decreased by GBP 189,646.14 (-27.81%) from March 2011 to April 2011.",monthly_net_revenue_summary.csv
q_0053,dev,monthly_revenue_change,hard,How did net revenue change from April 2011 to May 2011? Provide the absolute change and percentage change.,"Net revenue increased by GBP 229,726.26 (46.66%) from April 2011 to May 2011.",monthly_net_revenue_summary.csv
q_0054,test,monthly_revenue_change,hard,How did net revenue change from May 2011 to June 2011? Provide the absolute change and percentage change.,"Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011.",monthly_net_revenue_summary.csv
q_0055,train,monthly_revenue_change,hard,How did net revenue change from June 2011 to July 2011? Provide the absolute change and percentage change.,"Net revenue decreased by GBP 9,820.24 (-1.42%) from June 2011 to July 2011.",monthly_net_revenue_summary.csv
q_0056,train,monthly_revenue_change,hard,How did net revenue change from July 2011 to August 2011? Provide the absolute change and percentage change.,"Net revenue increased by GBP 23,353.59 (3.43%) from July 2011 to August 2011.",monthly_net_revenue_summary.csv
q_0057,train,monthly_revenue_change,hard,How did net revenue change from August 2011 to September 2011? Provide the absolute change and percentage change.,"Net revenue increased by GBP 314,086.10 (44.65%) from August 2011 to September 2011.",monthly_net_revenue_summary.csv
q_0058,dev,monthly_revenue_change,hard,How did net revenue change from September 2011 to October 2011? Provide the absolute change and percentage change.,"Net revenue increased by GBP 51,771.55 (5.09%) from September 2011 to October 2011.",monthly_net_revenue_summary.csv
q_0059,test,monthly_revenue_change,hard,How did net revenue change from October 2011 to November 2011? Provide the absolute change and percentage change.,"Net revenue increased by GBP 386,777.57 (36.17%) from October 2011 to November 2011.",monthly_net_revenue_summary.csv
q_0060,train,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in December 2010? Give the rank, stock code, product name, and net revenue.","Top 3 products in December 2010: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 26,722.16; 2. 84029E (RED WOOLLY HOTTIE WHITE HEART.), GBP 9,291.73; 3. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 9,187.45.",product_month_net_revenue_summary.csv
q_0061,train,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in January 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in January 2011: 1. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 15,174.26; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 11,742.50; 3. 21108 (FAIRY CAKE FLANNEL ASSORTED COLOUR), GBP 6,870.41.",product_month_net_revenue_summary.csv
q_0062,train,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in February 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in February 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 10,491.54; 2. 21623 (VINTAGE UNION JACK MEMOBOARD), GBP 6,810.39; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 5,613.64.",product_month_net_revenue_summary.csv
q_0063,dev,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in March 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in March 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 16,817.85; 2. 85099B (JUMBO BAG RED RETROSPOT), GBP 10,116.43; 3. 47566 (PARTY BUNTING), GBP 9,098.27.",product_month_net_revenue_summary.csv
q_0064,test,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.",product_month_net_revenue_summary.csv
q_0065,train,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in May 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in May 2011: 1. 47566 (PARTY BUNTING), GBP 19,093.30; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,217.27; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 11,172.17.",product_month_net_revenue_summary.csv
q_0066,train,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in June 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in June 2011: 1. 22502 (PICNIC BASKET WICKER 60 PIECES), GBP 39,619.50; 2. 47566 (PARTY BUNTING), GBP 12,452.17; 3. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,453.64.",product_month_net_revenue_summary.csv
q_0067,train,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in July 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in July 2011: 1. 47566 (PARTY BUNTING), GBP 14,576.50; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 13,726.56; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 8,474.61.",product_month_net_revenue_summary.csv
q_0068,dev,top3_products_month,medium,"What were the top 3 products by merchandise net revenue in August 2011? Give the rank, stock code, product name, and net revenue.","Top 3 products in August 2011: 1. 85099B (JUMBO BAG RED RETROSPOT), GBP 10,441.77; 2. 84879 (ASSORTED COLOUR BIRD ORNAMENT), GBP 9,867.04; 3. 47566 (PARTY BUNTING), GBP 9,655.25.",product_month_net_revenue_summary.csv
